event_id,timestamp,user,host,source_ip,event_type,mitre_tactic,mitre_technique
6072fa11-212b-4778-9544-baf818612c2c,2026-01-16T13:44:24.670614+00:00,alice,win-01,10.0.0.10,user_login,TA0006,T1110
a228d58d-6fa5-41ce-a5e1-2fa8c1c16512,2026-01-16T13:44:26.844609+00:00,charlie,win-03,10.0.0.11,process_start,TA0002,T1059.003
7d2de685-2d25-4105-a5c0-aad1e67573c0,2026-01-16T13:44:28.504068+00:00,alice,win-03,10.0.0.10,user_login,TA0006,T1110
8f2f05d7-77cd-41d8-b688-558017821451,2026-01-16T13:44:29.575077+00:00,alice,win-03,10.0.0.11,process_start,TA0002,T1059
c620c6ea-e3de-4362-abdf-8a204b04cd96,2026-01-16T13:44:31.820476+00:00,alice,win-01,10.0.0.10,user_login,TA0001,T1078
e1846916-cefd-4ed2-ae01-f7bd7ea472d6,2026-01-16T13:44:35.261709+00:00,bob,win-02,10.0.0.11,process_start,TA0002,T1059.001
54d8b40a-1575-45a3-b472-e738c74edede,2026-01-16T13:44:37.592355+00:00,alice,win-02,10.0.0.10,process_start,TA0002,T1059.001
b00f99f2-499b-41ef-992e-027d660bb665,2026-01-16T13:44:39.544010+00:00,admin,win-03,10.0.0.10,process_start,TA0002,T1059.003
2331ee4b-af44-4b41-acac-cd157fdead77,2026-01-16T13:44:43.148309+00:00,alice,win-02,10.0.0.10,user_login,TA0001,T1078
8609bd53-7d8d-4126-9d27-a583cebac39b,2026-01-16T13:44:47.918814+00:00,bob,win-02,10.0.0.10,user_login,TA0006,T1110
2fdc0b4d-a716-4410-a397-73fb2f1a583b,2026-01-16T13:44:49.011619+00:00,admin,win-02,10.0.0.10,user_login,TA0006,T1110
8738de1f-5ce1-42b0-ba2c-4b1ee50e4827,2026-01-16T13:44:50.958041+00:00,alice,win-02,10.0.0.11,process_start,TA0002,T1059
a15dded1-57a7-4437-9bc4-3712616d7247,2026-01-16T13:44:53.270857+00:00,bob,win-03,10.0.0.12,process_start,TA0002,T1059.003
410300db-14a9-4948-a949-354563a92682,2026-01-16T13:44:55.875732+00:00,bob,win-03,10.0.0.11,process_start,TA0002,T1059.003
74c1bb89-39da-4d72-a5ab-3b18a5f0d1e1,2026-01-16T13:44:59.112696+00:00,alice,win-02,10.0.0.10,user_login,TA0006,T1110
2a4f817f-63c7-4607-989d-146a46170487,2026-01-16T13:45:01.991739+00:00,charlie,win-01,10.0.0.12,user_login,TA0006,T1110
d46cc8d5-8907-4135-9ce3-3603f1e3c1a6,2026-01-16T13:45:05.685815+00:00,admin,win-01,10.0.0.10,user_login,TA0006,T1110
5433167e-c793-44be-a911-cf8b36e8884c,2026-01-16T13:45:08.543328+00:00,charlie,win-02,10.0.0.10,process_start,TA0002,T1059.001
4ca606da-d757-4bdb-99db-b0ba969d1346,2026-01-16T13:45:12.200125+00:00,charlie,win-01,10.0.0.12,user_login,TA0001,T1078
4d4acb9e-c7e7-4b06-98e8-f375f5c31e94,2026-01-16T13:45:17.107299+00:00,charlie,win-02,10.0.0.11,user_login,TA0006,T1110
fef400cb-5e88-4283-9375-06cc0a237a64,2026-01-16T13:45:21.852071+00:00,charlie,win-03,10.0.0.12,user_login,TA0001,T1078
c96402f8-84b0-4d60-9be2-b8c3158b8838,2026-01-16T13:45:25.263351+00:00,alice,win-01,10.0.0.12,process_start,TA0002,T1059
2980419c-f2e2-4c31-a398-2c1a0b803741,2026-01-16T13:45:27.451856+00:00,admin,win-03,10.0.0.10,user_login,TA0006,T1110
8b04bf65-fc4c-4392-9477-890d88741a2e,2026-01-16T13:45:31.040208+00:00,admin,win-01,10.0.0.10,user_login,TA0001,T1078
adc4d98b-fb17-494e-b5e6-aae9ebf48abb,2026-01-16T13:45:32.288200+00:00,charlie,win-03,10.0.0.12,process_start,TA0002,T1059
00bcc8e3-bcc3-4aa5-b95f-5912d1a4def7,2026-01-16T13:45:33.746125+00:00,alice,win-03,10.0.0.10,process_start,TA0002,T1059
